Model,AUROC,Brier,Accuracy,MCC
ERM-LR,0.49617355716317213,0.24563460983851504,0.5676666666666667,0.0
ERM-MLP,0.4907452481923369,0.3754181907054041,0.49533333333333335,-0.020551311074400832
ERM-XGB,0.5008924141079893,0.24729698778151696,0.5609166666666666,0.011878823345487718
IRM,0.49587653381419977,0.24560270092992603,0.5676666666666667,0.0
DANN,0.5020603182917713,0.3604143104311035,0.5636666666666666,-0.001862480705567922
GroupDRO,0.5014899836607447,0.25017379437506687,0.4984166666666667,0.008789260998710571
SCTM,0.4955524594676454,0.24559804874409163,0.5676666666666667,0.0
CIDT,0.5011627826036958,0.24615921095758245,0.5633333333333334,-0.01151742065961289
