Model,AUROC,Brier,Accuracy,MCC
ERM-LR,0.9909539030628067,0.026659924474714294,0.9706666666666667,0.9402091415480972
ERM-MLP,0.9949142143824382,0.03845827383529918,0.9520833333333333,0.9055136757306251
ERM-XGB,1.0,8.33335704643455e-08,1.0,1.0
IRM,0.988515097173069,0.03498067162509426,0.9624166666666667,0.9234295974156135
DANN,0.9469695469150319,0.08884273498877765,0.89675,0.8023555297081609
GroupDRO,0.9872972646574528,0.030513914008477732,0.9634166666666667,0.9254144191969325
SCTM,0.9900677282277952,0.028115290502457455,0.97,0.9388508454834301
CIDT,1.0,7.27865926396025e-06,1.0,1.0
