Model,AUROC,Brier
ERM-LR,0.7898466853586419,0.22674088190025904
ERM-MLP,0.9294482535921236,0.12846228788967706
ERM-XGB,1.0,4.027632966584846e-07
IRM,0.805349623391258,0.2054738798023416
DANN,0.9687402520202227,0.07735407240181022
GroupDRO,0.7832773109814373,0.24505730705058237
SCTM,0.7847348956963334,0.23947727160298754
CIDT,1.0,2.2020036164846165e-05
