,AUROC,AUPRC,Brier
ERM-LogReg,0.5034147063315505,0.10046440306923371,0.08987307014240173
ERM-MLP,0.49816629626754233,0.09979150192599495,0.09085865078994763
ERM-XGB,0.5054180778106876,0.10088807055921757,0.09012322483034352
IRM,0.49589475700148056,0.09878553682357133,0.09178155006996197
DANN,0.5032702422950808,0.10123507067332382,0.09118172210228132
GroupDRO,0.5037733126949933,0.10132841214716949,0.09182522366407624
SCDT,0.49929733235056706,0.10023903388440442,0.09191813310306167
CIDT,0.496847212114363,0.09923914852419594,0.10232784825273493
